Process	An abstraction of a running program. A process is an instance of an executing program.
Interrupt	When the controller detects the end of the transfer, it generates an interrupt to signal completion.
Where can a process go from the running state?	Ready or Blocked
Where can a process go from the blocked state?	Ready
Where can a process go from the ready state?	Running
Where can a process go from the terminated state?	Nowhere
Can the processor ever stop working?	No, because the computer will crash and have a BSOD.
How are processes created and who creates them?	1. System init 2. A running process. 3. User request 4. Batch jobs
What causes an exception?	Instructions
User space	A set of locations where normal user processes run (i.e everything other than the kernel). The role of the kernel is to manage applications running in this space from messing with each other, and the machine.
Kernel space	The location where the code of the kernel is stored, and executes under.
Difference between fork( ) and createProcess( )	fork( ) copies the address space, createProcess( ) does not.
What is a detriment to strict alternation?	Does not satisfy the progress condition.
Spin lock	A lock that uses busy waiting.
Busy waiting	Continuously testing a variable until some value appears.
